"vehicleType","vehicleCarFrame","vehicleCarBrand","vehicleModel","vehicleDischarge","vehicleImported","vehicleRegistration","vehicleCarPlate","companyId","companyName","status","order"
"V","ZFA31200000502881","FIAT","500","0%","","","",1,"Cristallo srls","published",""
"V","ZFA31200000580983","FIAT","500","0%","","","",1,"Cristallo srls","published",""
"V","ZFA31200003398320","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA31200003624988","FIAT","PANDA","0%","","","",1,"Cristallo srls","published",""
"V","ZFA3120000J542745","FIAT","500L","0%","","","",1,"Cristallo srls","published",""
"V","ZFA3120000J799632","FIAT","500","0%","","","",1,"Cristallo srls","published",""
"V","ZFA35000000185415","FIAT","IDEA","0%","","","",1,"Cristallo srls","published",""
"V","ZLA17900013355082","LANCIA","PHEDRA","0%","","","",1,"Cristallo srls","published",""
"V","ZLA84400001120132","LANCIA","DELTA","0%","","31/07/2013","",1,"Cristallo srls","published",""
"V","","JEEP","RENEGADE","0%","","","--",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","",""," EB 960 FZ",1,"Cristallo srls","published",""
"V","VF7SA8HR0AW578283","CITROEN","DS3","0%","",""," EB179FV",1,"Cristallo srls","published",""
"V","WJME2NTH40C237816","IVECO","STRALIS","0%","",""," EJ415TE ",1,"Cristallo srls","published",""
"V","WV1ZZZSYZK9042078","VOLKSWAGEN","CRAFTER","0%","",""," FX387ZJ",1,"Cristallo srls","published",""
"V","","RENAULT","MASTER","0%","","",".",1,"Cristallo srls","published",""
"V","","ALFA ROMEO","STELVIO","0%","","","0000",1,"Cristallo srls","published",""
"V","","ALFA ROMEO","147","0%","","","0000000",1,"Cristallo srls","published",""
"V","","FIAT","DOBLO'","0%","","","00KKK00",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","POLO","0%","","","00KKK22",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","POLO","0%","","","00OOO00",1,"Cristallo srls","published",""
"V","","ALFA ROMEO","GIULIETTA","0%","","","1111111",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","11111111",1,"Cristallo srls","published",""
"V","","CITROEN","BERLINGO'","0%","","","1212",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","12587",1,"Cristallo srls","published",""
"V","VF1C4050501014989","RENAULT","5","0%","","04/01/1988","12QWE34",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","12WWW34",1,"Cristallo srls","published",""
"V","","FORD","FIESTA","0%","","","14",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","","15465465",1,"Cristallo srls","published",""
"V","","FORD","KA","0%","","01/01/2003","171717",1,"Cristallo srls","published",""
"V","","ESCAVATORE KOMATSU ","PC27MR-2","0%","","","17596",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","01/01/2008","18888",1,"Cristallo srls","published",""
"V","","CITROEN","C4","0%","","","222111",1,"Cristallo srls","published",""
"V","","CITROEN","JUMPY","0%","","","22222",1,"Cristallo srls","published",""
"V","","TOYOTA","CH R","0%","","","22FFF22",1,"Cristallo srls","published",""
"V","","AUDI","Q5","0%","","","22HHH22",1,"Cristallo srls","published",""
"V","VF7UA9HZCAJ529258","CITROEN","C4 PICASSO","0%","","","22QQQ22",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","22RRR22",1,"Cristallo srls","published",""
"V","","FIAT","SEICENTO","0%","","","22TTT22",1,"Cristallo srls","published",""
"V","JMZNA18B200105634","MAZDA","MX5","0%","","","22WWW22",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","TIGUAN","0%","","","22WWW33",1,"Cristallo srls","published",""
"V","","FIAT","500X","0%","","","22WWW44",1,"Cristallo srls","published",""
"V","","FIAT","TIPO","0%","","","2X1",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","","31333333",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","444",1,"Cristallo srls","published",""
"V","","FIAT","CROMA","0%","","","444444",1,"Cristallo srls","published",""
"V","","NISSAN","MICRA","0%","","","44GGG44",1,"Cristallo srls","published",""
"V","ZFA3340000P823269","FIAT","500","0%","","","44III44",1,"Cristallo srls","published",""
"V","","JEEP","RENEGADE","0%","","","44TTT55",1,"Cristallo srls","published",""
"V","","JEEP","RENEGADE","0%","","01/01/1980","454545",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","45454545",1,"Cristallo srls","published",""
"V","","LANCIA","BETA","0%","","","468389PV",1,"Cristallo srls","published",""
"V","","FIAT","500X","0%","","","500X",1,"Cristallo srls","published",""
"V","","FIAT","TIPO","0%","","","51984785",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","545635353",1,"Cristallo srls","published",""
"V","","CITROEN","XSARA PICASSO","0%","","","55GGG55",1,"Cristallo srls","published",""
"V","","AUDI","A4","0%","","","55UUU55",1,"Cristallo srls","published",""
"V","","FIAT","500","0%","","","55YYY55",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","5656",1,"Cristallo srls","published",""
"V","","RENAULT","CAPTURE","0%","","","5858584",1,"Cristallo srls","published",""
"V","","FIAT","SEICENTO","0%","","","600",1,"Cristallo srls","published",""
"V","","SKODA","FABIA","0%","","","66HHH66",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","TRANSPORTER","0%","","","66RRR66",1,"Cristallo srls","published",""
"V","","BMW","X1","0%","","","693LF",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","GOLF","0%","","01/01/2014","77777",1,"Cristallo srls","published",""
"V","","LANCIA","DELTA","0%","","","777778",1,"Cristallo srls","published",""
"V","","IVECO","EUROCARGO","0%","","","77KKK77",1,"Cristallo srls","published",""
"V","","JEEP","COMPASS","0%","","","77OOO77",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","77PPP77",1,"Cristallo srls","published",""
"V","","LANCIA","YPSILON","0%","","","788",1,"Cristallo srls","published",""
"V","","FIAT","GRANDE PUNTO","0%","","","88LLL88",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","T-ROC","0%","","","88RRR88",1,"Cristallo srls","published",""
"V","","FIAT","PUNTO","0%","","","88UUU88",1,"Cristallo srls","published",""
"V","","FARMER","308C","0%","","","88UUU99",1,"Cristallo srls","published",""
"V","JT1V0LJ7009049319","TOYOTA","LANDCRUISER","0%","","12/06/1990","A0188291",1,"Cristallo srls","published",""
"V","","AUDI","A1","0%","","","A1",1,"Cristallo srls","published",""
"V","","ALFA ROMEO","GIULIA","0%","","","A1111",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","","A1111111",1,"Cristallo srls","published",""
"V","","FIAT","PUNTO","0%","","","A12345",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","CADDY","0%","","","A1234567",1,"Cristallo srls","published",""
"V","","IVECO","DAILY","0%","","","A125115",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","A1515",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","","A53456165",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","A7848",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","TRANSPORTER","0%","","","A88888",1,"Cristallo srls","published",""
"V","","CITROEN","JUMPER","0%","","","AA",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","AA0000AA",1,"Cristallo srls","published",""
"V","","AUDI","A1","0%","","","AA000BR",1,"Cristallo srls","published",""
"V","","AUDI","A4","0%","","","AA000SS",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","AA1111QQQ",1,"Cristallo srls","published",""
"V","","FIAT","PANDA","0%","","","AA11122",1,"Cristallo srls","published",""
"V","","RENAULT","MASTER","0%","","","AA111AA",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","AA111AAA",1,"Cristallo srls","published",""
"V","","FIAT","SEICENTO","0%","","","AA111AB",1,"Cristallo srls","published",""
"V","","FIAT","500","0%","","","AA111AG",1,"Cristallo srls","published",""
"V","","PEUGEOT","207","0%","","","AA111EE",1,"Cristallo srls","published",""
"V","","ALFA ROMEO","147","0%","","","AA112AA",1,"Cristallo srls","published",""
"V","","JEEP","RENEGADE","0%","","","AA1212",1,"Cristallo srls","published",""
"V","","MERCEDES","ACTROS","0%","","","AA123AA",1,"Cristallo srls","published",""
"V","","CITROEN","C3","0%","","","AA1888",1,"Cristallo srls","published",""
"V","","FIAT","QUBO","0%","","","AA2222AA",1,"Cristallo srls","published",""
"V","","CITROEN","BERLINGO'","0%","","","AA222822",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","PASSAT","0%","","","AA222AA",1,"Cristallo srls","published",""
"V","","VOLKSWAGEN","TIGUAN","0%","","","AA222AB",1,"Cristallo srls","published",""
"V","","AIXAM","GT","0%","","","AA232EE",1,"Cristallo srls","published",""
"V","","PIAGGIO","APE POKER","0%","","","AA25950",1,"Cristallo srls","published",""
